ID,Number of Likes(favor),Retweet Count,Is retweeted,bias,label,slc_label
1509248953258328068,0,0,False,lean left,"['Appeal to authority', ' Loaded language']",propaganda
1549528678882852868,0,75,False,right,['Loaded language'],propaganda
1547252941748424705,2839,184,False,lean left,['Loaded language'],propaganda
1428431895977725954,7,1,False,lean left,['Loaded language'],propaganda
1553129514317889541,0,28,False,right,"['Exaggeration or minimization', ' Thought-terminating cliche', ' Slogans']",propaganda
1470973735263944704,68,4,False,right,"['Bandwagon', ' Exaggeration or minimization']",propaganda
1576244302207803392,2,0,False,left,['Exaggeration or minimization'],propaganda
1575082670073446407,2128,160,False,lean left,"['Loaded language', ' Exaggeration']",propaganda
1565459464551108610,10,0,False,lean right,['Exaggeration or minimization'],propaganda
1505674106410315778,10,2,False,lean left,"['Loaded language', ' Doubt']",propaganda
1576648947220840449,16,2,False,lean right,['Exaggeration or minimization'],propaganda
1576603607138443265,7,2,False,lean right,['Exaggeration or minimization'],propaganda
1538271803700875266,24,2,False,lean left,['Loaded language'],propaganda
644104590921756672,0,0,False,left,['Exaggeration or minimization'],propaganda
1549091588512563205,28,4,False,lean right,['Exaggeration or minimization'],propaganda
1566791570489311234,2,1,False,lean right,['Loaded language'],propaganda
614909361194967040,0,0,False,left,['Appeal to authority'],propaganda
1576131073968308225,30,6,False,center,['Loaded language'],propaganda
1567167634839404546,153,10,False,lean left,non propaganda,non propaganda
1570378859555557376,40,6,False,left,['Loaded language'],propaganda
1565800685039489024,448,49,False,left,['Appeal to authority'],propaganda
1504116217711411211,1,0,False,lean left,['Loaded language'],propaganda
1570476801847066627,60,9,False,left,"['Appeal to authority', ' Loaded language']",propaganda
1570507787201052672,0,1755,False,right,"['Exaggeration or minimization', ' Slogans']",propaganda
1569758134394327045,22,4,False,left,"['Causal Oversimplification', ' Exaggeration or minimization']",propaganda
1487490121997819909,58,4,False,right,['Loaded language'],propaganda
1576323606946189315,33,8,False,center,['Exaggeration or minimization'],propaganda
1550973891442614272,8,0,False,right,"['Exaggeration or minimization', ' Loaded language']",propaganda
1360694734394695680,3,0,False,lean left,"['Appeal to authority', ' Loaded language', ' Exaggeration or minimization']",propaganda
1527415505094594600,82,25,False,lean right,non propaganda,non propaganda
1526235895627665408,3,1,False,lean left,"['Flag-waving', ' Loaded language', ' Exaggeration or minimization']",propaganda
1551614149020602370,0,15106,False,lean left,['Exaggeration or minimization'],propaganda
1571951180968005632,0,4,False,right,['Loaded language'],propaganda
1523272239881519104,1229,73,False,lean left,['Exaggeration or minimization'],propaganda
