main_tweet,Ad Hominem,Appeal to Fear,Appeal to Ridicule,False Dilemma,Hasty Generalization,Loaded Language,None of the above
" [user104337]: @user @user ... @user Kyrie Irving just doesn't get it. Nobody is against fighting police brutality. We are not a race of quitters, we find ways to affect change from the inside-out. These owners don't care if you boycott, helps them tear up your contract for next season. 
 ",0,0,0,0,0,0,1
" [user79987]: @user @user ... @user Totally disagree here. You hit these owners (and more importantly advertisers) right where it hurts. The only thing they care about is $$$. Period. Kyrie understands that going back & playing sends a message that ""Some"" BLM more than others. He is completely on point imo. 
 ",0,0,0,0,0,0,1
" [user104337]: @user @user ... @user That's so unintelligent. You can't hurt somebody that never cared about you in the 1st place. NBA owners will use this boycott as an excuse to tear up the contract for next season too. They became rich before being a part of the NBA. 
 ",0,0,0,0,0,0,1
" [user79987]: @user @user ... @user The unintelligent thing to do would be to go on living like nothing happened. If you have leverage use it. See how quickly a rich ass owner who doesn't care will hold on to something that doesn't generate profits. Contracts don't mean a damn thing anymore...haven't in years. 
 ",1,0,0,0,0,1,0
" [user47446]: @user @user ... @user It's been what..2, 3 weeks and what has happened? Protests overshadowed by everything other than sports, which haven't been allowed. Why ask players to sacrifice their paycheck now also? Not all of them have Supermax deals 
 ",0,0,0,0,0,0,1
" [user1779]: @user @user ... @user this shit's not gonna be easy😂nothin major is supposed to happen in 2, 3 weeks. if sports comes back, nothing major WILL happen. they'll talk about the movement at the beginning of the season then it's all highlights and playoffs and nobody cares anymore. 
 ",0,0,0,0,0,1,0
" [user47446]: @user @user ... @user Companies across the world are already trying to profit off the black dollar by promoting black lives matter. Everyone on social media and in the world agrees we need change. What do we need to do? Let's do it. The world goes on fine when sports are here why stop what works 
 ",0,0,0,0,1,0,0
" [user47446]: @user @user ... @user Plus how do you know they'll do this? Cuz the media just talks about whatever profits them huh exactly 
 ",0,0,0,0,0,0,1
" [user1779]: @user @user ... @user exactly. boycotting will stop a portion of the media from getting distracted and just going for views. all the headlines are gonna be about sports returning and blm will be nothing more than a hashtag again. if ppl with a platform sway from the matter, others will join 
 ",0,0,0,1,0,0,0
" [user47446]: @user @user ... @user Why must we always be combative? If you know others think something is bad and you can work together why not do it? No one could have watched that George Floyd video and felt any difference. We need to band together not create division for views for your cause 
 ",0,0,0,1,0,0,0
" [user104337]: @user @user ... @user We got some crab-mentality going on here, in the hood. The Clippers, Celtics, Lakers, and Milwaukee Bucks will not fall for this. I GUARANTEE YOU !!! They will rejoin protests in these city streets after the NBA Playoffs are completed. 
 ",0,0,0,0,0,1,0
" [user1779]: @user @user ... @user nahhh we need them in the streets right NOW😂the nba team owners should support that decision and fund protesting instead of games if playing or not playing the games won't affect them. why not not play the games and focus on something bigger?? 
 ",0,0,0,1,0,0,0
" [user104337]: @user @user ... @user We all agree that change is needed, WE DISAGREE ON THE METHOD TO AFFECT CHANGE. Trump will hijack this boycott saying, "" I told you black athletes can't multi-task = go to work and protest. They can only do 1 thing at a time. "" 
 ",0,0,0,0,1,1,0
" [user104337]: @user @user ... @user Why would a NBA owner lend financial support to employees (THIS IS A JOB, NOT A HOBBY) that refuse to come back to work ? NBA owners will trim their budget = fire their minimum wage employees, thanks to the players. 
 ",0,0,0,0,0,0,1
" [user47446]: @user @user ... @user My priorities are Americans working together not fighting over petty shit like ""don't let black people play basketball because they will take away from our message about police brutality"" the shit doesn't correlate. It's just the cancel mentality of always wanting 2 combat others 
 ",0,0,0,0,0,1,0
" [user1779]: @user @user ... @user and that just shows how corrupt nba owners are. they should do it cuz it's for a more important cause and they were rich before owning an nba team so not returning does nothing. funding the reason they won't return because it's valid is the right way, MORALLY, to go. but... 
 ",0,0,0,0,0,0,1
" [user1779]: @user @user ... @user ok. our fight against police brutality and injustice will be forgotten. 
 ",0,0,0,1,0,0,0
" [user47446]: @user @user ... @user How is it forgotten? It's everywhere's i look online now. I used to never comment or debate people but now I find this ignorance everywhere's and I feel the need to speak up as an American. 
 ",0,0,0,0,0,1,0
" [user104337]: @user @user ... @user You do realize that THE PROTEST HAVE BECOME ORDINARY/BUSINESS AS USUAL NOW ? The white can only be shocked but so many nights in a row, then they say ""Same thing as last night change the channel. "" 
 ",0,0,0,0,1,0,0
" [user47446]: @user @user ... @user Sounds like a threat on businesses. What if it's a black owned business that won't survive without foot traffic. That's racism sir. 
 ",0,0,1,0,0,1,0
" [user79987]: @user @user ... @user Now I know for sure you you didn't read lmao 
 ",0,0,1,0,0,0,0
" [user1779]: @user @user ... @user none can read😂that's why i stopped responding. bro said ""how is it forgotten"" after i said ""it WILL BE forgotten"" comprehension is tough for them apparently so im done wasting my time. if they can't see it's gonna be a distraction from reality then 🤷🏾♂ 
 ",1,0,0,0,0,1,0
" [user47446]: @user @user ... @user How will it be forgotten. How can you see the future my guy? It's everywhere's now why won't it be in 2 months. This is just as big as Coronavirus and that's still on tv. You're stopping progress bro but keep doing you. 
 ",0,0,0,0,0,0,1
" [user104337]: @user @user ... @user You are blind to facts of life youngblood. 😑😑😑 These owners look at NBA teams as toys/trophies. They became billionaires away from the NBA. I pay you well, but you refuse to come back to work. I'm not donating money to your cause. 
 ",1,0,0,0,0,0,0
" [user79987]: @user @user ... @user I think youngblood is wise beyond his years 
 ",0,0,0,0,0,0,1
" [user104337]: @user @user ... @user Youngblood is like a wind-up doll that you can just place in the middle of any civil unrest. Full of energy, but a dog chasing his tail. 
 ",0,0,0,0,0,0,1
" [user1779]: @user @user ... @user nah ""youngblood"" understands injustice is wrong and needs to be fixed by any means. peaceful protesting. rioting. boycotting. but if we continue on like everything is all fine and dandy, america will continue on like that when that's not what we need 
 ",0,0,0,0,0,0,1
